Message,Label
Maile atıyorlar kesintileri,ham
Dersteyim ben,ham
Ekstra 1750 Mil! 1-31 Ekim'de toplam 1000TL harcayin 1750Mil kazanin! HEDEF yazin 3340'a gonderin m.milesandsmiles.net/c Size ozel indirim ve kampanyalarimiz ile ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 3342'ye  gonderebilirsiniz. ,spam
"Is Bankasi Altin Bulusmalari 24 Kasim Sali gunu Milas Sbde! Altin,ziynet esyalarinizi getirin,karsiligi kadar altin hesabiniza yatsin.Tel:02525121092 - Iletisim tercihlerinizi degistirmek icin:Internet Subesi veya 08507240724 Turkiye Is Bankasi",spam
Full lenen Internet Kampanyasiyla internet paketinizin harcadiginiz yarisi ucretsiz geri gelsin ister misiniz?  Kampanyaya ucretsiz katilarak paketinizin yarisi kadar ek internet hakkiyla doya doya internet kullanmaya devam etmek icin FULLE yazip 2222 ye gonderin.,spam
SIMDI LIGTV ILK 3 AY % 50 INDIRIMLI ! USTELIK ILK AY SPOREXTRA +MOBIL TV+ YETISKIN PAKETI DE HEDIYE ! BILGI ALMAK VE UCRETSIZ KURULUM ICIN BIREYSEL MUSTERI TEMSILCINIZ OZGE 0212 709 77 73 Sms iptali icin http://iptal.co/ITU7N,spam
"Yo carlos, a few friends are already asking me about you, you working at all this weekend?",ham
Kız millet 10 kiloyla gayet sağlıklı bebek dünyaya getiriyor,ham
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,spam
Gerçekten çok ilginç neye takıldılar anlamadım,ham
"Haha just kidding, papa needs drugs",ham
Can you talk with me..,ham
"Kami dr Ktr INDOSAT sdh hub nmr anda tp tdk trsambung,jd kami krm SMS bhw no anda mendpt mobil JAGUAR PIN;d377hi8 info www.kejutanindosat-plusplus.weebly.com",spam
"That's very rude, you on campus?",ham
Also that chat was awesome but don't make it regular unless you can see her in person,ham
U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08,spam
Yo guess what I just dropped,ham
I need details about that online job.,ham
"Garanti Mortgage'den kamu calisanlarina,16 Mart-30 Nisan arasinda kredi tahsis ucretsiz mortgage firsati. Bilgi icin 4443846  www.garantimortgage.com",spam
Tum English Home aksesuarlar %50 indirimle magazalarimizda ve www.englishhome.com.tr'de. SMS almamak icin RET yazip 4909'a gonderin.Mersis:0326026979700012,spam
"BODY 3.50 - SWEAT 9.90 - ETEK 14.90 - BYN KABAN 39.90 TL FİYATLARLA.... CNS AVM 'de ,KEYİFLİ ALIŞVERİŞLER.",spam
Good evening! How are you?,ham
When u wana see it then,ham
Hocanin ip 6 si bende de illa ekran koruyucu takalim dedide :) sabah 8.30 gibi hem kilif alsam hemde ekran koruyucu taktirsak dicektim :),ham
"ANAOKULU,1200mt2 bahce,tüm gün ingilizce egitim,gezi,aktivite programlariyla 3-6yasa egitim vermeye devam ediyoruz.Acilisa özel indirim icin 05336293594/BORNOVA",spam
"YVES ROCHER'den sadece en seckin tuketicilerine ozel... 125 TL'lik alisverisinize 125 TL degerinde orijinal boy CILT BAKIM KREMI, RUJ, VUCUT LOSYONU ve ROLL-ON DEODORANT HEDIYE! Keyifli alisverisler... (Cikmak icin YR->3172) Mersis0630038615700010",spam
Anladimmm. Tabi onlar bunu bilmicekler. Valla super??,ham
"gülayım biz zaten dışardayız, çocuklar da yoruldu zaten, muhtemelen birazdan eve döneriz",ham
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,ham
"\Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic\""""",ham
olur,ham
2marrow only. Wed at  &lt;#&gt;  to 2 aha.,ham
"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",ham
Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,ham
I cant pick the phone right now. Pls send a message,ham
Yup song bro. No creative. Neva test quality. He said check review online.,ham
"Sayin :Mehtap SAYGILI,Adiniza Tanimlanan 2650 TL Degerinde Samsung S6 Cep Telefonunuzu 3 Is Günü Almamaniz Durumunda Iade Olacaktir.Onay:02129980103",spam
Wife.how she knew the time of murder exactly,ham
"yaudah, minta data dummy untuk diagnosa_pasien dong",ham
Good Morning plz call me sir,ham
"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",ham
Does daddy have a bb now.,ham
Maybe you should find something else to do instead???,ham
Lol enjoy role playing much?,ham
You know what hook up means right?,ham
Babe ? I lost you ... :-(,ham
Ben çıktım savunmadan,ham
"FAIZSIZ, UCRETSIZ, 3 Taksitli Nakit Avans icin Son 15 Gun! 31 Marta kadar 1.500 TL harcayin, yararlanin! Nakit bosluk kartin son 6 hanesini 3404e gonderin!",spam
"UFO soguk buharli iyonizerli vantilator, ozel fiyati ve ucretsiz kargosu ile 239TL! n11.com/ufo SMS iptali icin n11 IPTAL yazip 2924'e gonderebilirsiniz Mersis No:0309034533200013",spam
Maalesef yapacak birşey yok bunu yapan benim hocalarım ya lanet olsun diyorum kağıdı çok kötü demişler ben kağıdımı gayet iyi biliyorum evet çok iyi bir kağıt değil ama 40 da değil,ham
Yoruluyor musun bu saat çok geç,ham
KAMPANYA:LOFT'TA YENI YILA OZEL %30 INDIRIM BASLAMISTIR.MUTLU YILLAR DILERIZ. SMS ALMAMAK ICIN LOFTSU YAZIP 7889'A UCRETSIZ SMS GONDEREBILIRSINIZ. MH:5495520372,spam
"Müdürüm karar veriyor pazar akşam dönüyorum, gitmeden görebilirim inşallah",ham
Barcin'dan bahara merhaba kampanyasi. 250 TL ve üzeri alisverisinize %20 parapuan. 15 Mart'a kadar sürecek bu kampanyayi kacirmayin!,spam
R u here yet? I'm wearing blue shirt n black pants.,ham
Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,ham
"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",spam
bilmiyorum tam olarak akşamüstü gelicem dedi,ham
"Sayin TUNCAY, Alsancak magazamiz indirimin ilk 2 gunu Sabah 9'da aciliyor. (6-7 Ocak) Sms ret icin MS yazin 3525'e gonderin. Mersis:0396007527100022",spam
I wan but too early lei... Me outside now wun b home so early... Neva mind then...,ham
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",spam
 &lt;#&gt;  mins but i had to stop somewhere first.,ham
"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you.",ham
Şimdi Aksaray terminale geldik hayırlısıyla eve bir ulaşsaydım,ham
"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",ham
Well welp is sort of a semiobscure internet thing,ham
"Get the door, I'm here",ham
Oh... Kay... On sat right?,ham
Get me out of this dump heap. My mom decided to come to lowes. BORING.,ham
tosunu goresim geldi.,ham
"Awesome, I remember the last time we got somebody high for the first time with diesel :V",ham
None of that's happening til you get here though,ham
"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",ham
Don't forget who owns you and who's private property you are ... And be my good boy always .. *passionate kiss*,ham
Lol that's different. I don't go trying to find every real life photo you ever took.,ham
"Pesin al, taksit taksit ode!31 Mart'a kadar olan harcamalarinizi UCRETSIZ,FAIZSIZ 4'e bolun!""TAKSIT"" bosluk kartin son 6 hanesini 3404'e gonder! parafcard.com",spam
Gimana nuy menghadapi beliau?,ham
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham
IM LATE TELLMISS IM ON MY WAY,ham
Enjoy urself tmr...,ham
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,ham
Hahn aynen böyle kalsin :),ham
Heh tamam ozaman mavi şortu buldum,ham
Memperbaiki bug2 karna ganti db bbrp. Lg enak nonton td ditelfon 😂,ham
Great. P diddy is my neighbor and comes for toothpaste every morning,ham
Bonus American Expressle BPde ayri gunlerde 3 defa 100TL uzeri yakit alimina 20TL bonus!Ilk harcamadan once BPBONUS yaz 3340a gonder.Son gun 15 Kasim!www.bonus.com.tr. Size ozel indirim/kampanyalarla ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 2244 e gonderin,spam
Sat right? Okay thanks... ,ham
"Parfumde buyuk firsat! Burberry Classic EDT Erkek Parfumu 100 ml sadece 99,90 TL! http://bit.ly/burbrry",spam
Ok... Sweet dreams...,ham
Ben Ankara'ya gelecektim aslında sonra sen nasılsa geleceksin diye vazgeçtim,ham
Şimdi aradım dayanamadım sordum da Esra hanımdaymış,ham
"Hello, hello, hi lou sorry it took so long 2 reply- I left mobile at friends in Lancaster, just got it bak Neway im sorry I couldnåÕt make ur båÕday 2 hun!",ham
"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at å£350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS",spam
How much are we getting?,ham
Dagi'de Tum Konfeksiyon ve Camasir Urunlerinde %50 iNDIRIM Kampanyasinda  SON GUN Keyifli Alisverisler Dileriz Bu mesaji almak istemiyorsan RET 3347'ye gonder,spam
"The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.",ham
My uncles in Atlanta. Wish you guys a great semester.,ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
Tamamdır saolasım,ham
3 pa but not selected.,ham
Size ozel 20TL bayram bonusu! 27 Eylul'e kadar Paracard ile  260TL daha harcayin 20TL bonus kazanin! BAYRAM yazip 3340'a gonderin paracard.com.tr/b Size ozel indirim ve kampanyalarimiz ile ilgili ucretsiz SMS almak istemiyorsaniz SMSIPTAL yazip 3342'ye gonderin.,spam
Baskan pilllllll :),ham
Indirim: Watsons Buyuk Yilbasi Indirimi basladi! %50'ye varan firsatlar icin hemen tikla http://goo.gl/vTlCmo Cikis:WTS yaz 3525e gonder.Mersis:0212037036400019,spam
Gececekmisiniz,ham
"50TL BONUS! BONUSA UYE MARKET,GIYIM,BEYAZ ESYA,RESTORANDA HER 100TL HARCAMAYA 10TL,TOPLAM 50TL BONUS! ILK HARCAMADAN ONCE KAZAN YAZ 3340'A GONDER. BONUS.COM.TR",spam
"İyi iyi topla bişeyler, laptop isteseydin :))",ham
Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,ham
"Sorry, I can't help you on this.",ham
Onurlarda evde takılır. Kesin pes atar,ham
Karahayit Barika Termal de Yilbasi Coskusunu Fedon la Yasayin! 4Gun 3Gece Yarim Pansiyon Yilbasi Paketi 498 TL HemenAra 02589880188 www.barikatermal.com,spam
Telefonun etkin!,ham
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
ÌÏ wait 4 me in sch i finish ard 5..,ham
"FIRSAT yazip 2222'ye ucretsiz gondererek, 30 Dk gunluk konusma kazanabilir ve markalarin INDIRIM ve KAMPANYALARINI tum hatlarinizla ucretsiz ogrenebilirsiniz",spam
Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam
K.i did't see you.:)k:)where are you now?,ham
You all ready for * big day tomorrow?,ham
Bilmiyorum arastirmadim,ham
O i played smash bros  &lt;#&gt;  religiously.,ham
Ev kendinin olmayınca insan bişey yapamıyor buralarda,ham
I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,ham
Tamam bişey olursa arasın,ham
Oh k. . I will come tomorrow,ham
You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,spam
Sen ne zaman geliyorsun,ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
Dask poliçeside zorunludur.,ham
"Butuh Dana Tunai Cepat 25-250 Juta Dgn Bunga Rendah 1,35% Flat/Bln Proses Dijamin 3 Hari Syarat Mudah Info Ibu YANI : 081218986001",spam
FREE DoubleScoop Ice Cream / Disc 10% di Haagen-Dasz dengan TCASH TAP! S&K berlaku. Info tsel.me/tappromo,spam
Where's my boytoy? I miss you ... What happened?,ham
"Bir sonraki ay tarife icerigini sadece 10TL farkla 3GB internet, her yone 750dk ve 6000SMS'e esnetmek icin ESNEK EKSTRA yaz 7000e gonder, bir sonraki fatura doneminden itibaren kullanmaya basla.",spam
"KAMPANYA: NT'de Harika Yari Yil Tatili Indirimleri! Asus Laptop 899TL, LG G3-32GB 1.169 TL, Samsung J5-4G 899TL, Samsung 7"" Tablet 259TL, 4 Cekirdek Tablet 159TL-- SMS iptal: http://nt.tc/g/Sa8LD7 Mersis No: 5144431354627526",spam
I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,ham
U come n search tat vid..not finishd..,ham
Bu bayram bir web siteniz olsun! Tüm Hosting paketleri simdi %50 INDIRIMLI son gün 8 Ekim www.isimtescil.net ? Iyi bayramlar,spam
Ben kadroluyum zaten Doktorodan sonra,ham
Are you this much buzy,ham
RESMI TRI CARE Pin pemenang Anda_8JF2177 Medptkan 1/Unit TOYOTA YARIS U/Info Lanjut klik: www.gebyar3care.jimdo.com CS:021-80001234/089643122237,spam
"HGS'nizi GARANTI'den alin, azaldikca otomatik yukleme ozelligiyle bakiyenizi biz takip edelim! Ustelik bakiye yuklemelerinize ucret odemeyin! HGS'nizi subeden hemen teslim alabilir veya internet subesinden basvurabilirsiniz.",spam
Lingkungan kerjanya berasap. Kalo gak ngerokok ya pada nge-vape gitu coba. Kan cowok semua banyaknya,ham
Tüm ürünlerimizde ikinci ürüne %20 net indirim için son 1 hafta  Üstelik elden senetle sakın kaçırmayın 5464013854 Sms iptali için http://iptal.co/ITqyy,spam
Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,ham
Kirim ke Bank BCA No. Rek : 2731.7942.96 A/n : ANDRIANTO DJUNAEDI usahakan hari ini trms,spam
Onur'a sorayım bi,ham
"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",ham
INDIRIM: Yeni yila ozel %25 INDIRIM firsati! Son gun 31 Aralik! SMS almak istemiyorsaniz TEFAL RET yazip 2924'e gonderebilirsiniz. Mersis No:0833003193000011,spam
Tamam hocam ;) ,ham
"Kampanya, VakifBank Worldcard ile Emlak ve Cevre Temizlik Vergilerinizi faizsiz, masrafsiz 3000 TLye kadar 5 taksit, 3000 TL uzeri 2 taksitte odeyebilirsiniz. Hesap kesim tarihinden once 9 Hazirana kadar 4440724u aramaniz yeterli. ",spam
Tamam hocam :) :),ham
Villa olursa sende ortak olurmusun fiyata,ham
"Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!",ham
That's significant but dont worry.,ham
Vena magazalarinda SON INDIRIM! Secili urunlerde ETIKETIN YARISI firsati basladi.SMS iptali icin VENARET yaz 7889'a gonder.Mersis no:0924004278000017,spam
Iyi yapmissin değişiklik olmuştur  sanada :) 2 ay oldu zeynep abla,ham
Iya put alat masak makan mah aku usahain ada,ham
Oh thanks a lot..i already bought 2 eggs ..,ham
"3000 TL limitli Avans Hesap icin son firsat! Bir imzaniz ile acilabilmesi icin subemize gelin, nakit sikintisi cekmeyin! Son gun 11 Mayis! Bilgi: 02522117030",spam
PIZZA PIZZA'DAN ORTALIGI KARISTIRACAK FIYAT 2 ADET ORTABOY ORTAYA KARISIK PIZZA +1 ADET SARIMSAK SOS SADECE 19.90 TL! 44 44 500 ARA GELSIN !,spam
Rahman gönül rahatlığı versin...,ham
Sorry that was my uncle. I.ll keep in touch,ham
I cant pick the phone right now. Pls send a message,ham
Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,ham
CarrefourSA Kart ile bugunun firsatini kacirmayin! 27 Kasim'da tek seferde yapacaginiz 75TL ve uzeri alisverislerinize COCA COLA\ZERO,spam
It shall be fine. I have avalarr now. Will hollalater,ham
Ok,ham
"FIRSAT:Money Dostu, tam senlik oldugunu dusundugumuz FILIZ OZEL LEZZETLER MAKARNA CESITLERI 350G 1,45TL!10-23 Aralik'ta Migrosta. Bilgi icin, 4441044. SMS almak istemiyorsaniz IPTAL yazip 7447'ye gonderin. MERSIS no: 0622052951300016",spam
Evet :) ,ham
Where u been hiding stranger?,ham
Wishing you a wonderful week.,ham
Siz evde yokken de degerli esyalariniz guvende olsun. Is Bankasi kiralik kasalarinda size ozel yaz kampanyasiyla %45'e varan indirim! www.isbank.com.tr/?issp=k9 Iletisim tercihlerinizi degistirmek icin:Internet Subesi veya 08507240724,spam
Hahaha..use your brain dear,ham
Kampanya: Sn. KARA 32-100 gun vadeli 25.000-1.000.000TL arasi mevduatiniza ozel %12 Tanisma faiz orani firsati 1 Kasima kadar ESENYURT Subemizde. VakifBank MERSIS: 6233294113736392,spam
K... Must book a not huh? so going for yoga basic on sunday?,ham
This is wishing you a great day. Moji told me about your offer and as always i was speechless. You offer so easily to go to great lengths on my behalf and its stunning. My exam is next friday. After that i will keep in touch more. Sorry.,ham
"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",ham
Az onceki perde kadar uzun mu olucak,ham
"Bugune ozel LG G4 32 GB 1669 TL (LG TR garantili), 125 TL chip-para hediye! http://goo.gl/hJzvWP cikmak icin KLIKSA RET yaz 4933e yolla Mersis: 0564054884900014",spam
My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,ham
Boyner'de isaretli urunlerde %50'ye varan indirim! http://goo.gl/W4HvGa Son gun 31.01. Bilgi icin 4442967. Cikmak icin RET BOYNER yazip 5956'ya gonderin. Mersis no: 2969818352347142 Servis saglayici: Figensoft.,spam
"Haha... Sounds crazy, dunno can tahan anot...",ham
"Bu hafta sonu MOI Sahne'de Cuma saat 21.00 Ince Saz Konseri, Cumartesi saat 20.30 Tiyatro Kare Leyla'nin Evi Pazar saat 18.00 Mahser-i Cumbus! biletix.com ",spam
Unlimited texts. Limited minutes.,ham
SOMESTiR FIRSATI! ALANYADA KAPALI HAVUZLU SAUNA HAMAMLI 5 YILDIZ HERSEYDAHiL OTELDE TATiL 4GECE 5GUN 230TL 0-14 YAS FREE +9TAKSiT 02425153000 www.goo.gl/DVaByc,spam
"ASIMSIZ 1GB yazip 5555'e gonderin, ayda 19 TL'ye 1GB cepten internetin keyfini yasayin.Ustelik internetiniz bitince paketiniz dursun! Iptalde paket ucreti alinir.Tanitim iptali icin IPT,sadece SMS tanitim iptali icin IPT SMS yazip 7672'ye gonderin.",spam
Paraf ile Teknosa'dan 750 TL ve uzeri alisverislere 75 TL ParafPara! Ustelik pesin fiyatina 9 taksitle. Son gun: 12 Aralik Detay: http://url.parafcard.com.tr/67,spam
Anytime lor...,ham
How much u trying to get?,ham
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham
Pls send me your address sir.,ham
Ajakin ke soekarno hatta aja nama1 . Makan di eatboss soekarno hatta wkwkw,ham
"PT. Pertamina persero menerima karyawan(i) Lulusan SMK, D1,D2,D3,S1&S2 kirim lamaran,CV,Ijazah,photo4x6 & notip ke email: pertaminareckrutment@ymail.com",spam
Aduh aku ge ini pusing yg mau lamaran siapa yg nyari2 kebutuhan siapa,ham
"Dapatkan BONUS PULSA hg 50rb jika isi ulang di hari Minggu, isi ulang mulai dr 10rb. Ktk: GRATIS krm ke 123. Panduan: ketik PAN krm ke123. Cek bonus tekan*555*3#",spam
10-15 Subat arasi sevgililer gunune ozel en yeni urunler ve en uygun fiyatlar ile Harbiye Askeri Muze Outlet Hediyelik Esya fuarindayiz www.europirlanta.com,spam
Tamamdır ben konuştum tarayıp gönderecek hallediyorum şimdi :),ham
"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",ham
10 tane yeterli olur sanırım,ham
Yarın gelince ararım onları yazmışlarsa söylerler ;) Saolasın ;),ham
Am i that much bad to avoid like this?,ham
"Patah hatinya level tinggi, jd bisa quotes begitu put",ham
SELAMAT: Anda T'rpilih L'ngsung M'ndptkan Hadiah Dr PT.TELKOMSEL Rp:75jt.U/INFO Hubungi pusat: 085245780079 Drs.H.MULYADI Pelaksana:TELKOMSEL,spam
Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,ham
"Fena değildi, ilk filme göre iyi hatta",ham
I am great princess! What are you thinking about me? :),ham
Yarin elinizde olur dedi sözde bakalim sinir oldum,ham
Surly ill give it to you:-) while coming to review.,ham
hiç iş yapmadık ama köy havası hem iyi geliyor hem yoruyor,ham
"Kampanya: VakifBank Worldcardla 27 Eylule kadar World uyesi gida, giyim, egitim, kirtasiye, kuyumda ilk 100TL sonrasi her 100TLye 10TL,maks 50TL Worldpuan.Katilim icin KAZAN yazip kart son 6 hanesini 6635e gonderin.Kampanya SMSi iptali icin VBRED yazip 6757ye gonderin.",spam
Hey what are you doing. Y no reply pa..,ham
Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
Hmm .. Bits and pieces lol ... *sighs* ...,ham
Ok then i will come to ur home after half an hour,ham
VakifBank Worldcardla 31 Ocaka kadar sube veya 4440724 Telefon Bankaciligindan 5000TL NakiteTaksit kullanin aylik 607 TL taksitlerle 9 taksitte odeyin.,spam
Konuştum Hakan'la,ham
I want to lick your pussy now...,ham
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,ham
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",ham
Sonunda bi yerde patlak verecek onun durumları ama du bakalım umarım biz zararlı çıkmayz... ,ham
Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.,ham
A cute thought for friendship: \Its not necessary to share every secret with ur close Frnd,ham
"Finally it has happened..! Aftr decades..! BEER is now cheaper than PETROL! The goverment expects us to \DRINK\"". . . But don't \""DRIVE \""""",ham
"Sorry, I'll call later",ham
"Koroplast Firin Torbasi alin, sifreyi www.koroplastlazamankazan.com'a  girin ANINDA Kahve Dünyasindan kahve kazanin.Size özel bu firsat icin son gün 09 Mart!",spam
"Hiç haberleşmedik, Hayatında neler oluyor?",ham
"Im sorry bout last nite it wasnåÕt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",ham
selamat!anda mndptkan hadiah Cektunai Rp. 15jt dari INDOSAT pin_277fg49 U/info pengambilan hadiah.kunjungi website indosat www.gebyar-poinindosat.blogspot.com,spam
